"Sales","CompPrice","Income","Advertising","Population","Price","ShelveLoc","Age","Education","profit"
9.5,138,73,11,276,120,"Bad",42,17,62
11.22,111,48,16,260,83,"Good",65,10,32
10.06,113,35,10,269,80,"Medium",59,12,25
7.4,117,100,4,466,97,"Medium",55,14,96
11.85,136,81,15,425,120,"Good",67,10,66
11.96,117,94,4,503,94,"Good",50,13,90
10.96,115,28,11,29,86,"Good",53,18,17
11.17,107,117,11,148,118,"Good",52,18,106
12.29,147,74,13,251,131,"Good",52,10,61
8.73,129,76,16,58,121,"Medium",69,12,60
10.14,145,119,16,294,113,"Bad",42,12,103
7.81,104,99,15,226,102,"Bad",58,17,84
8.25,136,58,16,241,131,"Medium",44,18,42
8.77,114,38,13,317,128,"Good",50,16,25
7.91,153,40,3,112,129,"Bad",39,18,37
8.32,122,102,19,469,123,"Bad",29,13,83
8.47,119,88,10,170,101,"Medium",61,13,78
9.01,126,61,14,152,115,"Medium",47,16,47
13.39,149,69,20,366,134,"Good",60,13,49
9.46,89,81,15,237,99,"Good",74,12,66
10.64,102,87,10,346,70,"Medium",64,15,77
8.01,113,100,16,353,79,"Bad",68,11,84
11.62,151,83,4,325,139,"Good",28,17,79
8.39,115,97,5,134,84,"Bad",55,11,92
7.45,161,82,5,287,129,"Bad",33,16,77
9,128,62,7,125,116,"Medium",43,14,55
9.31,122,87,9,17,106,"Medium",65,13,78
7.57,112,88,2,243,99,"Medium",62,11,86
7.37,130,94,8,137,128,"Medium",64,12,86
11.67,125,89,10,380,87,"Bad",28,10,79
11.27,153,68,2,60,133,"Good",59,16,66
8.41,94,84,13,497,77,"Medium",51,12,71
9.54,125,87,9,232,136,"Good",72,10,78
7.62,132,98,2,265,97,"Bad",62,12,96
10.27,125,103,12,371,109,"Medium",44,10,91
8.77,144,63,11,27,117,"Medium",47,17,52
11.48,121,120,13,140,87,"Medium",56,11,107
11.48,104,41,15,492,77,"Good",73,18,26
8.01,128,39,12,356,118,"Medium",71,10,27
12.49,93,106,12,416,55,"Medium",75,15,94
9.03,104,102,13,123,110,"Good",35,16,89
10.48,138,72,0,148,94,"Medium",27,17,72
7.78,144,25,3,70,116,"Medium",77,18,22
10.07,130,100,11,449,107,"Medium",64,10,89
13.28,139,70,7,71,96,"Good",61,10,63
7.23,112,98,18,481,128,"Medium",45,11,80
9.39,117,118,14,445,120,"Medium",32,15,104
12.04,145,69,19,501,105,"Medium",45,11,50
8.23,149,84,5,220,139,"Medium",33,10,79
9.7,138,61,12,156,120,"Medium",25,14,49
10.62,116,79,19,359,116,"Good",58,17,60
10.59,131,120,15,262,124,"Medium",30,10,105
7.49,136,119,6,178,145,"Medium",35,13,113
8.69,113,64,10,68,101,"Medium",57,16,54
13.14,137,80,10,24,105,"Good",61,15,70
9.32,141,34,16,361,108,"Medium",69,10,18
9.62,151,28,8,499,135,"Medium",48,10,20
7.82,124,25,13,87,110,"Medium",57,10,12
9.16,137,105,10,435,156,"Good",72,14,95
9.58,108,104,23,353,129,"Good",37,17,81
7.71,123,81,8,198,81,"Bad",80,15,73
8.67,125,62,14,477,112,"Medium",80,13,48
7.67,129,117,8,400,101,"Bad",36,10,109
7.77,116,26,6,434,115,"Medium",25,17,20
10.04,116,106,8,244,86,"Medium",58,12,98
7.22,135,93,2,67,119,"Medium",34,11,91
7.8,136,48,12,326,125,"Medium",36,16,36
7.6,146,26,11,261,131,"Medium",39,10,15
8.75,143,77,25,448,156,"Medium",43,17,52
11.82,113,66,16,322,74,"Good",76,15,50
12.66,148,76,3,126,99,"Good",60,11,73
8.21,127,44,13,160,123,"Good",63,18,31
8.57,116,78,1,158,99,"Medium",45,11,77
7.41,99,93,0,198,87,"Medium",57,16,93
10.01,133,52,16,290,99,"Medium",43,11,36
11.93,123,98,12,408,134,"Good",29,10,86
8.03,115,29,26,394,132,"Medium",33,13,3
9.24,126,80,19,436,126,"Medium",52,10,61
11.18,131,111,13,33,80,"Bad",68,18,98
9.53,175,65,29,419,166,"Medium",53,12,36
7.72,133,33,10,333,129,"Good",71,14,23
15.63,122,36,5,369,72,"Good",35,10,31
9.16,140,50,10,300,139,"Good",60,15,40
10.36,107,105,18,428,103,"Medium",34,12,87
11.7,144,69,11,131,104,"Medium",47,11,58
11.27,100,54,9,433,89,"Good",45,12,45
10.1,135,63,15,213,134,"Medium",32,10,48
7.63,93,117,9,489,83,"Bad",42,13,108
11.54,134,44,4,219,126,"Good",44,15,40
12.57,132,102,20,459,107,"Good",49,11,82
13.44,133,103,14,288,122,"Good",61,17,89
13.36,103,73,3,276,72,"Medium",34,15,70
10.5,122,21,16,488,131,"Good",30,14,5
10.26,135,100,22,463,122,"Medium",36,14,78
7.68,126,41,22,403,119,"Bad",42,12,19
9.44,131,47,7,90,118,"Medium",47,12,40
16.27,141,60,19,319,92,"Good",44,11,41
9.64,106,64,NA,17,89,"Medium",68,17,NA
12.85,123,37,15,348,112,"Good",28,12,22
8.14,135,89,11,245,78,"Bad",79,16,78
8.44,128,42,8,328,107,"Medium",35,12,34
12.57,138,108,17,203,128,"Good",33,14,91
7.41,162,26,12,368,159,"Medium",40,18,14
9.71,134,37,0,27,120,"Good",49,16,37
